imageNumber,magnification,numberEyeCells,folliclesPerCell,eyeSocketShape,eyeCellMerging,wildType,depression,Cluster,imageName
0,4.2,4,4,1,6,0,-1,4,POL2_1_07.tif
1,12.6,-1,0,0,10,0,1,1,JAGUNAL_Knock_Down_SEV#1_37.tif
2,2.5,-1,5,4,10,0,-1,1,MOD3_1_20.tif
3,1,1,1,5,10,0,10,2,JAGUNAL_Knock_Down_SEV#2_43.tif
4,21.7,-1,-1,-1,10,0,-1,1,MOD2_1_17.tif
5,28.1,-1,-1,-1,10,0,-1,1,POL1_1_04.tif
6,1.6,1,1,5,10,0,10,2,JAGUNAL_Knock_Down_SEV#2_46.tif
7,3.8,-1,5,1,10,0,-1,1,JAGUNAL_Knock_Down_POL#3_25.tif
8,8,-1,-1,1,9,0,-1,1,JAGUNAL_Knock_Down_Mod#2_08.tif
9,1.5,0,0,0,-1,0,-1,3,JAGUNAL_Knock_Down_EY#1_50(1).tif
10,1,7,6,7,10,0,5,0,JAGUNAL_Knock_Down_POL#2_22.tif
11,1,1,1,5,10,0,10,2,JAGUNAL_Knock_Down_SEV_2_10.tif
12,74,-1,-1,-1,-1,0,-1,3,MOD2_1_16.tif
13,1,10,10,10,10,0,10,0,KD_Wild_Type_3_09.tif
14,1,6,1,8,7,0,1,4,JAGUNAL_Knock_Down_Mod#2_10.tif
15,26.2,-1,-1,-1,-1,0,-1,3,MOD1_1_13.tif
16,1,9,1,7,9,0,1,4,MOD1_1_10.tif
17,5.3,-1,6,1,9,0,-1,1,JAGUNAL_Knock_Down_POL#1_16.tif
18,5.3,-1,0,0,-1,0,-1,3,JAGUNAL_Knock_Down_EY#1_49.tif
19,1,9,7,7,9,0,1,4,JAGUNAL_Knock_Down_MOD1_09.tif
20,7,-1,10,3,10,0,-1,4,KD_Wild_Type_2_07.tif
21,5,8,1,-1,8,0,-1,4,JAGUNAL_Knock_Down_Mod#311.tif
22,2.5,8,4,4,8,0,-1,4,POL2_1_09.tif
23,1,10,10,10,10,0,10,0,KD_Wild_Type_5_14.tif
24,4,10,10,4,10,0,-1,4,KD_Wild_Type_4_13.tif
25,1,7,6,7,9,0,1,4,JAGUNAL_Knock_Down_Mod#314.tif
26,0,9,7,3,10,0,-1,4,KD_Wild_Type_6_18.tif
27,4,5,4,2,9,0,-1,4,JAGUNAL_Knock_Down_POL#1_15.tif
28,1,0,0,0,-1,0,-1,3,JAGUNAL_Knock_Down_1_01.tif
29,1,10,10,10,10,0,10,0,KD_Wild_Type_6_17.tif
30,1,10,9,10,10,10,10,0,True_Wild_Type_3_03.tif
31,3.2,8,4,2,9,0,-1,4,JAGUNAL_Knock_Down_Mod#1_05.tif
32,1,8,6,9,10,0,5,0,MOD2_1_18.tif
33,3.1,8,5,4,8,0,-1,4,JAGUNAL_Knock_Down_Mod#2_09.tif
34,3.8,2,1,5,7,0,10,2,JAGUNAL_Knock_Down_SEV#1_36.tif
35,4.7,1,1,5,10,0,10,2,JAGUNAL_Knock_Down_ML#1_33.tif
36,1,4,5,7,10,0,5,4,JAGUNAL_Knock_Down_POL#1_18.tif
37,533,0,0,0,-1,0,-1,3,JAGUNAL_Knock_Down_EY#2_57.tif
38,1,10,10,10,10,0,5,0,KD_Wild_Type_3_08.tif
39,4.2,-1,-1,4,10,0,-1,1,JAGUNAL_Knock_Down_POL#2_20.tif
40,3.5,-1,-1,2,9,0,-1,1,JAGUNAL_Knock_Down_POL#1_17.tif
41,10,-1,-1,-1,10,0,10,2,JAGUNAL_Knock_Down_POL1_02.tif
42,5.2,-1,-1,3,8,0,-1,1,MOD1_1_11.tif
43,0,10,10,8,10,0,10,0,KD_Wild_Type_2_04 (1).tif
44,125.5,-1,-1,-1,-1,0,-1,3,POL1_1_05.tif
45,1,10,10,8,10,0,10,0,KD_Wild_Type_2_04.tif
46,2,8,4,7,9,0,1,4,JAGUNAL_Knock_Down_Mod#1_02.tif
47,5,-1,-1,-1,-1,0,-1,3,POL1_1_02.tif
48,1.3,8,5,8,9,0,1,4,JAGUNAL_Knock_Down_Mod#1_04.tif
49,1,10,10,10,10,10,10,0,True_Wild_Type_1_01.tif
50,2,-1,-1,4,10,0,-1,1,JAGUNAL_Knock_Down_WT#1_29.tif
51,4.8,1,1,6,10,0,10,2,JAGUNAL_Knock_Down_SEV#1_41.tif
52,1,9,8,9,10,0,5,0,MOD3_1_19.tif
53,4,-1,-1,1,10,0,-1,1,JAGUNAL_Knock_Down_POL#3_23.tif
54,4,-1,-1,2,10,0,-1,1,JAGUNAL_Knock_Down_MOD1_08.tif
55,1,8,7,9,9,0,10,0,MOD2_1_14.tif
56,3.8,0,-1,-1,-1,0,-1,3,JAGUNAL_Knock_Down_EY#2_54.tif
57,1,1,1,5,10,0,10,2,JAGUNAL_Knock_Down_SEV#2_42.tif
58,74,-1,-1,-1,-1,0,-1,3,MOD2_1_15.tif
59,0,10,-1,4,10,0,-1,4,KD_Wild_Type_5_15.tif
60,5,1,1,5,9,0,10,2,JAGUNAL_Knock_Down_SEV_2_11.tif
61,1,6,3,7,8,0,10,2,JAGUNAL_Knock_Down_Mod#1_06.tif
62,10,10,10,3,10,0,-1,4,KD_Wild_Type_1_03.tif
63,10.7,-1,0,0,-1,0,1,3,JAGUNAL_Knock_Down_SEV#1_38.tif
64,4,7,-1,-1,7,0,-1,1,JAGUNAL_Knock_Down_Mod#2_07.tif
65,1,10,10,10,10,10,10,0,True_Wild_Type_4_04.tif
66,6.5,-1,-1,-1,3,0,-1,3,POL2_1_08.tif
67,3.9,-1,-1,1,8,0,-1,1,MOD1_1_12.tif
68,2.5,6,-1,3,10,0,-1,1,MOD3_1_21.tif
69,10,7,3,6,10,0,1,4,JAGUNAL_Knock_Down_POL1_03.tif
70,1.5,1,1,5,10,0,10,2,JAGUNAL_Knock_Down_ML#1_34.tif
71,10,-1,-1,3,10,0,-1,1,KD_Wild_Type_5_16.tif
72,3.3,-1,-1,3,9,0,-1,1,JAGUNAL_Knock_Down_POL#2_19.tif
73,3.4,-1,-1,-1,-1,0,-1,3,JAGUNAL_Knock_Down_SEV#2_45.tif
74,1,5,7,8,10,0,10,0,JAGUNAL_Knock_Down_WT#1_28.tif
75,5.5,6,6,6,9,0,1,4,JAGUNAL_Knock_Down_POL#3_27.tif
76,5,-1,-1,1,8,0,-1,1,JAGUNAL_Knock_Down_Mod#312.tif
77,1,-1,-1,-1,-1,0,-1,3,JAGUNAL_Knock_Down_SEV#2_44.tif
78,1.5,6,7,8,9,0,10,0,JAGUNAL_Knock_Down_ML#1_35.tif
79,2.5,-1,-1,4,10,0,-1,1,KD_Wild_Type_3_10.tif
,,,,,,,,,KD_Wild_Type_1_01.tif
,,,,,,,,,JAGUNAL_Knock_Down_SEV#2_47.tif
,,,,,,,,,True_Wild_Type_6_06.tif
,,,,,,,,,JAGUNAL_Knock_Down_SEV#2_48.tif
,,,,,,,,,JAGUNAL_Knock_Down_SEV1_06.tif
,,,,,,,,,POL2_1_06.tif
,,,,,,,,,JAGUNAL_Knock_Down_POL1_04.tif
,,,,,,,,,JAGUNAL_Knock_Down_SEV1_07.tif
,,,,,,,,,JAGUNAL_Knock_Down_SEV#1_39.tif
,,,,,,,,,JAGUNAL_Knock_Down_EY2_05.tif
,,,,,,,,,JAGUNAL_Knock_Down_POL#3_26.tif
,,,,,,,,,JAGUNAL_Knock_Down_WT#1_31.tif
,,,,,,,,,JAGUNAL_Knock_Down_POL#2_21.tif
,,,,,,,,,KD_Wild_Type_1_02.tif
,,,,,,,,,JAGUNAL_Knock_Down_Mod#1_01.tif
,,,,,,,,,POL1_1_01.tif
,,,,,,,,,JAGUNAL_Knock_Down_EY#1_53.tif
,,,,,,,,,KD_Wild_Type_4_11.tif
,,,,,,,,,JAGUNAL_Knock_Down_POL#3_24.tif
,,,,,,,,,JAGUNAL_Knock_Down_EY#2_55.tif
,,,,,,,,,JAGUNAL_Knock_Down_EY#1_50.tif
,,,,,,,,,JAGUNAL_Knock_Down_EY#1_51.tif
,,,,,,,,,POL1_1_03.tif
,,,,,,,,,JAGUNAL_Knock_Down_WT#1_32.tif
,,,,,,,,,KD_Wild_Type_2_05.tif
,,,,,,,,,JAGUNAL_Knock_Down_Mod#1_03.tif
,,,,,,,,,JAGUNAL_Knock_Down_WT#1_30.tif
,,,,,,,,,KD_Wild_Type_4_12.tif
,,,,,,,,,JAGUNAL_Knock_Down_Mod#313.tif
,,,,,,,,,True_Wild_Type_2_02.tif
,,,,,,,,,KD_Wild_Type_2_06.tif
,,,,,,,,,JAGUNAL_Knock_Down_EY#1_52.tif
,,,,,,,,,JAGUNAL_Knock_Down_SEV#1_40.tif
,,,,,,,,,JAGUNAL_Knock_Down_EY#2_56.tif
,,,,,,,,,True_Wild_Type_5_05.tif
